,distance_m
2380229,19636.60984117368
2380230,18216.222236280173
2380231,21681.210457381
2380233,21424.79982410892
2400220,13132.952253996425
2400222,14863.52066154832
2400225,18563.08374854283
2400227,16774.89376560761
2400229,15044.325358055718
2400244,18807.320976447885
2400245,16716.29150947339
2400246,15082.825330379552
240161,8704.236040012165
240162,10662.355398637312
2450068,7741.807330365943
2450091,13270.907277691244
2450094,13517.045880888816
2450095,13385.502293378242
260060,3301.070318004152
260061,3490.9012121278333
280168,9825.824938013873
280169,9096.783765360098
280171,11562.430941574434
280172,10916.915334268391
280173,3347.948532317192
280176,7313.990310023332
290144,8419.3970291352
290145,8690.745626020043
290146,7201.378685470384
290147,7427.735824594351
300066,6385.459651138343
300076,5922.787014558909
310113,5530.713740743606
310116,5080.147120077842
320221,5357.357004885923
320235,5220.481414963662
320272,7310.777119815759
320273,7575.459277280973
320276-1,7322.890499870135
320276-2,5446.241014621452
320278,8891.97392489501
320280,8627.291767429791
320283,12547.776742712505
320284-1,6012.16699201465
320284-2,7310.777119815759
320285,12141.436213556548
330155,10940.216649045931
330159,9780.630400103611
330160,10395.250306758782
330161,11336.396692535822
330163,9235.664057816459
330164,7566.486981608274
330165,12506.904637988051
330166,9315.097670707199
330167,7244.227925950882
340244,8483.1611101552
340246,7212.665646158892
340255,8307.802951809537
340257-1,7186.394550822102
340257-2,5463.051786868267
340258,7186.394550822102
340261,12489.436456756379
340262,12307.642372610035
340263-1,5885.595404139039
340263-2,7212.665646158892
34E0247,18651.277914694223
34E0254,22472.14817643924
34E0256,22197.771458166524
34E0257,18408.365179791985
3500204,17262.48334001226
3500205,24125.997107630777
3500206,23900.601541108776
3500207,16163.867329827031
3500208,17174.53555936759
350162,12383.451056747866
350166,7413.086586795504
350167,10161.324350855912
350172,10201.416345210593
350173,7788.786265745916
350175,15145.93258970358
3510110,7002.943722709745
3510111,6295.24785548935
3510112,8744.647210708788
3510113,7865.590722741141
3540126,31974.058066483685
3540131,30343.501507603047
3540136,30621.586061223894
3540137,32841.719197312974
360315,6911.112486622997
360316,8036.788299658338
360317,8279.03916599679
360327,8011.819935484401
360328,8224.272597945117
360329,6986.513800519116
360332-1,6570.138907366663
360332-2,5463.051786868267
360333,6570.138907366663
360335,11873.180813300938
360336-1,5885.595404139039
360336-2,6637.644900027575
360337,11732.621626478734
370098,6514.219640856457
370123,6888.567428431329
370124,9350.295381220216
370125-1,9350.295381220216
370125-2,5463.051786868267
370126-1,5885.595404139039
370126-2,8810.760481256211
380152,6606.051218681181
380153-1,3488.350249664107
380153-2,4619.291424288386
380154-1,5277.148833301746
380154-2,4619.291424288386
380160,6437.170780832677
380161,11532.147507283828
380162-1,5885.595404139039
380162-2,6437.170780832677
390143,5463.051786868267
390145,8114.852141347289
390152,8217.079037888121
390153,5885.595404139039
400100,9031.447742414466
400102,6662.380367578661
400104,6624.554221807768
400105,8993.62159664357
400107,9732.955356161727
400108,6457.583180790541
410101,9445.340617688062
410103,8292.573670268177
4110139,18130.140556269584
4110141,5373.859693124813
4110144,17506.184838315694
4110145,5360.367995500353
420091,4131.784905141658
420092,4346.344510089202
4240075,13299.827887158419
4240076,12589.243450300426
4260253,13927.547456808627
4260254,20839.350238927753
4260255,20899.514659804216
4260267,19941.70963904094
4260268,13762.6967495348
4260269,4553.796081418825
4260270,5226.802129452977
4280046,23096.763460138918
4280047,22314.062559655897
4290261,22757.48557434364
4290262,24336.83590019228
4290263,19905.437405435594
4290264,19717.296159475834
4290265,19903.838108838045
4290266,21475.209627887896
4290267,4481.722353677369
4290268,5441.460823223257
4290269,6338.686460289745
